Tanggal,Jam,Vision Output Power (KW),Beam Voltage (KV),Beam Current (A),Driver FWD Power (W),Water Temp In (C),Water Temp Out (C)
2025-03-01,02:00:00,14.49,31.01,1.12,188.0,40.0,48.0
2025-03-01,04:00:00,14.57,31.08,1.12,188.0,37.0,44.0
2025-03-01,06:00:00,14.6,31.05,1.12,189.0,40.0,48.0
2025-03-01,08:00:00,14.6,31.05,1.12,189.0,39.0,47.0
2025-03-01,10:00:00,14.53,31.08,1.11,189.0,37.0,45.0
2025-03-01,12:00:00,14.45,31.03,1.12,187.0,35.0,44.0
2025-03-01,14:00:00,14.34,31.03,1.12,187.0,42.0,50.0
2025-03-01,16:00:00,14.33,31.08,1.13,187.0,37.0,45.0
2025-03-01,18:00:00,14.3,31.08,1.11,186.0,41.0,49.0
2025-03-01,20:00:00,14.3,31.2,1.12,186.0,39.0,47.0
2025-03-01,22:00:00,14.41,31.05,1.1500000000000001,186.0,41.0,48.0
2025-03-01,00:00:00,14.45,31.13,1.11,187.0,40.0,47.0
2025-03-02,02:00:00,14.41,31.05,1.11,187.0,41.0,49.0
2025-03-02,04:00:00,14.45,31.05,1.11,188.0,40.0,48.0
2025-03-02,06:00:00,14.42,31.1,1.11,188.0,42.0,50.0
2025-03-02,08:00:00,14.33,31.1,1.11,187.0,41.0,49.0
2025-03-02,10:00:00,14.32,31.1,1.11,186.0,42.0,50.0
2025-03-02,12:00:00,14.31,31.08,1.13,186.0,35.0,43.0
2025-03-02,14:00:00,14.17,31.1,1.11,185.0,36.0,44.0
2025-03-02,16:00:00,14.17,31.03,1.1,185.0,35.0,43.0
2025-03-02,18:00:00,14.18,31.08,1.11,185.0,42.0,50.0
2025-03-02,20:00:00,14.2,31.08,1.11,185.0,40.0,47.0
2025-03-02,22:00:00,14.34,31.08,1.12,186.0,41.0,49.0
2025-03-02,00:00:00,14.37,31.01,1.11,187.0,40.0,48.0
2025-03-03,02:00:00,14.46,31.18,1.12,188.0,30.0,38.0
2025-03-03,04:00:00,14.29,31.03,1.1,187.0,30.0,38.0
2025-03-03,06:00:00,14.46,31.1,1.12,188.0,30.0,38.0
2025-03-03,08:00:00,14.48,31.05,1.12,188.0,32.0,39.0
2025-03-03,10:00:00,14.42,31.08,1.11,187.0,35.0,42.0
2025-03-03,12:00:00,13.8,31.01,1.12,187.0,35.0,41.0
2025-03-03,14:00:00,14.28,31.05,1.12,186.0,34.0,41.0
2025-03-03,16:00:00,13.64,31.03,1.11,186.0,35.0,41.0
2025-03-03,18:00:00,13.76,31.03,1.11,186.0,34.0,41.0
2025-03-03,20:00:00,14.36,31.18,1.11,187.0,32.0,39.0
2025-03-03,22:00:00,14.37,31.18,1.11,187.0,30.0,38.0
2025-03-03,00:00:00,14.39,31.05,1.12,187.0,29.0,38.0
2025-03-04,02:00:00,14.46,31.2,1.12,188.0,40.0,48.0
2025-03-04,04:00:00,14.46,31.03,1.12,188.0,40.0,48.0
2025-03-04,06:00:00,14.47,31.03,1.12,188.0,40.0,48.0
2025-03-04,08:00:00,14.53,31.05,1.12,188.0,40.0,48.0
2025-03-04,10:00:00,14.46,31.08,1.1,188.0,38.0,46.0
2025-03-04,12:00:00,14.45,31.15,1.12,187.0,39.0,47.0
2025-03-04,14:00:00,14.43,31.1,1.11,188.0,42.0,50.0
2025-03-04,16:00:00,14.37,31.05,1.11,186.0,37.0,44.0
2025-03-04,18:00:00,14.4,31.05,1.12,187.0,35.0,43.0
2025-03-04,20:00:00,14.38,31.1,1.13,187.0,39.0,47.0
2025-03-04,22:00:00,14.41,31.08,1.11,188.0,36.0,44.0
