Tanggal,Jam,Vision Output Power (KW),Beam Voltage (KV),Beam Current (A),Driver FWD Power (W),Water Temp In (C),Water Temp Out (C)
2026-07-23,00:00,13.89,30.95,1.15,183.0,37.0,44.0
2026-07-23,02:00,13.76,30.81,1.12,179.0,35.0,48.0
2026-07-23,04:00,13.54,30.82,1.09,183.0,38.0,45.0
2026-07-23,06:00,14.08,31.06,1.07,189.0,39.0,42.0
2026-07-23,08:00,14.25,30.74,1.15,191.0,41.0,43.0
2026-07-23,10:00,14.43,30.67,1.08,194.0,42.0,41.0
2026-07-23,12:00,14.38,30.96,1.12,184.0,34.0,44.0
2026-07-23,14:00,13.79,30.83,1.07,192.0,39.0,46.0
2026-07-23,16:00,14.47,31.06,1.06,192.0,39.0,43.0
2026-07-23,18:00,13.88,30.91,1.14,183.0,34.0,46.0
2026-07-23,20:00,14.37,31.09,1.08,188.0,37.0,42.0
2026-07-23,22:00,14.49,30.86,1.08,183.0,41.0,42.0
2026-07-24,00:00,14.23,31.07,1.15,191.0,35.0,49.0
2026-07-24,02:00,14.76,30.88,1.08,190.0,33.0,46.0
2026-07-24,04:00,13.67,30.94,1.09,191.0,38.0,42.0
2026-07-24,06:00,14.71,30.79,1.11,182.0,41.0,44.0
2026-07-24,08:00,14.61,30.79,1.13,186.0,34.0,47.0
2026-07-24,10:00,13.57,30.89,1.09,191.0,38.0,45.0
2026-07-24,12:00,13.81,30.77,1.14,182.0,39.0,44.0
2026-07-24,14:00,14.14,30.92,1.15,184.0,34.0,47.0
2026-07-24,16:00,14.04,30.95,1.07,193.0,38.0,46.0
2026-07-24,18:00,14.56,30.68,1.13,192.0,35.0,45.0
2026-07-24,20:00,13.86,30.85,1.12,191.0,34.0,51.0
2026-07-24,22:00,14.31,31.08,1.06,190.0,34.0,50.0
2026-07-25,00:00,13.66,30.77,1.12,185.0,39.0,47.0
2026-07-25,02:00,13.69,30.82,1.15,190.0,36.0,43.0
2026-07-25,04:00,14.22,30.44,1.06,181.0,32.0,45.0
2026-07-25,06:00,14.48,30.51,1.16,185.0,36.0,49.0
2026-07-25,08:00,14.69,30.99,1.04,190.0,33.0,47.0
2026-07-25,10:00,14.29,30.68,1.09,183.0,41.0,45.0
2026-07-25,12:00,13.94,30.91,1.16,180.0,35.0,50.0
2026-07-25,14:00,14.22,30.55,1.13,184.0,34.0,42.0
2026-07-25,16:00,14.78,30.45,1.07,189.0,38.0,41.0
2026-07-25,18:00,13.81,31.09,1.15,184.0,35.0,50.0
2026-07-25,20:00,13.69,30.75,1.12,182.0,34.0,50.0
2026-07-25,22:00,14.37,30.83,1.17,189.0,39.0,49.0
2026-07-26,00:00,13.73,30.9,1.05,180.0,31.0,46.0
2026-07-26,02:00,13.58,30.74,1.09,178.0,30.0,43.0
2026-07-26,04:00,14.66,30.81,1.03,176.0,39.0,51.0
2026-07-26,06:00,14.12,30.98,1.07,174.0,34.0,51.0
2026-07-26,08:00,14.68,31.13,1.03,178.0,41.0,44.0
2026-07-26,10:00,13.97,30.83,1.05,181.0,37.0,46.0
2026-07-26,12:00,13.44,30.76,1.12,187.0,33.0,49.0
2026-07-26,14:00,14.5,31.0,1.1,188.0,40.0,48.0
2026-07-26,16:00,14.5,31.0,1.1,188.0,40.0,48.0
2026-07-26,18:00,14.69,31.09,1.09,184.0,43.0,48.0
2026-07-26,20:00,13.89,30.45,1.18,195.0,35.0,45.0
2026-07-26,22:00,13.89,31.12,1.18,192.0,42.0,53.0
2026-07-27,00:00,14.31,31.18,1.19,188.0,42.0,53.0
2026-07-27,02:00,14.35,30.63,1.13,187.0,32.0,49.0
2026-07-27,04:00,13.72,30.86,1.05,182.0,39.0,44.0
2026-07-27,06:00,14.67,31.12,1.08,181.0,41.0,43.0
2026-07-27,08:00,14.79,30.43,1.18,182.0,36.0,53.0
2026-07-27,10:00,14.04,30.32,1.19,186.0,38.0,47.0
2026-07-27,12:00,13.87,30.93,1.2,190.0,34.0,43.0
2026-07-27,14:00,14.45,31.03,1.18,194.0,34.0,45.0
2026-07-27,16:00,13.84,30.77,1.2,189.0,34.0,46.0
2026-07-27,18:00,14.88,31.95,1.15,195.0,40.0,47.0
2026-07-27,20:00,14.62,31.61,1.2,198.0,43.0,41.0
